"Text","Sentiment","SentimentConfidence","Date","User","Location","User_timezone"
"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards","negative",1,"2015-02-21 19:39:22 -0","Chunkingtonchad","",""
"@united we will be at the airport first thing in the morning","neutral",0.6632,"2015-02-21 19:37:36 -0","c4pyro","",""
"@united I'm rebooked on a flight tomorrow even though I had 1st class seat orig I have a lousy coach seat","negative",1,"2015-02-21 19:37:17 -0","MMMarketing2014","#Westford #marketing ",""
"@united well this one missed the mark.  She was in a snit from the minute I stepped up to the counter","negative",1,"2015-02-21 19:34:41 -0","MMMarketing2014","#Westford #marketing ",""
"@united Doesn't have to be same flight 2 and 2 will work also","neutral",0.6769,"2015-02-21 19:33:33 -0","c4pyro","",""
"@united who compensates is for the delays caused by the fact that you don't have enough flight attendants?? http://t.co/96apr35qan","negative",1,"2015-02-21 19:33:07 -0","D4Duskes","Montreal","Eastern Time (US & Canada)"
"@united we've been seating for 5hrs inside flight UA936 at #IAD delayed. We've only been offered water &amp; cookies in business class. #failed","negative",1,"2015-02-21 19:31:44 -0","mesapuyo","Washington-Vancouver-Medellín",""
"@united please get me off this plane #UA57","negative",1,"2015-02-21 19:30:36 -0","MattySags","New York, NY",""
"@united yes. On a nonstop to Memphis tomorrow morning. With the snow coming in I got my fingers crossed it will go.","neutral",0.6745,"2015-02-21 19:30:13 -0","CoachMcRoberts","Oxford, MS",""
"@united traveling with 3 young kids!! Chose our original flights for a reason.","neutral",0.6745,"2015-02-21 19:28:59 -0","jackiehoglund","Boston, MA","Quito"
"@united have since dropped to 2 layovers but still not acceptable.","negative",1,"2015-02-21 19:28:44 -0","jackiehoglund","Boston, MA","Quito"
"@united our 1 layover itinerary was swapped for a 3 layover itinerary - really?!?","negative",1,"2015-02-21 19:28:31 -0","jackiehoglund","Boston, MA","Quito"
"@united your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed","negative",1,"2015-02-21 19:28:31 -0","mesapuyo","Washington-Vancouver-Medellín",""
"@united not completely.  Our flight was changed in July but we never received notification.","negative",1,"2015-02-21 19:28:11 -0","jackiehoglund","Boston, MA","Quito"
"@united are there any upgrades avail to get us all on the same flight","neutral",1,"2015-02-21 19:25:33 -0","c4pyro","",""
"@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags","negative",0.6988,"2015-02-21 19:22:30 -0","Colettod","Ottawa, ON","Eastern Time (US & Canada)"
"@united no I don't. Spoke with baggage contact at 1-800 number. Said they will try to get bags to stay at IAD for pick up tmrw","negative",0.663,"2015-02-21 19:21:55 -0","Colettod","Ottawa, ON","Eastern Time (US & Canada)"
"@united can you make sure I’m on the upgrade list for 2/23 EWR-PDX using my GPU priority? Got a weird email about it.","negative",0.6572,"2015-02-21 19:21:17 -0","ssegraves","PDX / LGA / TXL / ✈","Central Time (US & Canada)"
"@united so is that two seats avail so far for us.","positive",0.3656,"2015-02-21 19:20:02 -0","c4pyro","",""
"@united has once again earned a place as the worst airline in the business","negative",1,"2015-02-21 19:19:00 -0","21stCenturyMom","","Pacific Time (US & Canada)"
"@united is flight number 1142 Denver to Las Vegas 1125 on Sunday feb 22 Cancelled Flighted ?","neutral",1,"2015-02-21 19:14:48 -0","ntrogers","",""
"@united when I read it say ' in some cases' can you please define this for me, when for example would it not be the case?","negative",0.684,"2015-02-21 19:12:51 -0","Jo_Frost","Global","Quito"
"@united I'm trying your WiFi on UA1616. But sorry it really slow. Even #Spotify lagging and that isn't a hard stream.","negative",1,"2015-02-21 19:08:50 -0","IssenSvensson","Sweden",""
"@united Not until tomorrow night. And the hotel voucher had higher rate than travelocity Not loving cost, but hard working staff","negative",0.6562,"2015-02-21 19:05:21 -0","gwen1013","New Haven, CT",""
"@united flight UA1459 sitting at newark waiting for a gate, seriously??? #threehoursLate Flight","negative",1,"2015-02-21 19:05:18 -0","danklein2112","",""
"@united why don't you ever print my known #traveler number on my ticket? Because of this I never get to use the #TSA prescreen I paid for","negative",1,"2015-02-21 19:01:41 -0","stevestillalive","San Diego, CA","Pacific Time (US & Canada)"
"@united boarding was decent, 3 useless agents that don't speak English (after 2.5hrs of hold) 6hrs of mech delay not so much","negative",1,"2015-02-21 19:01:07 -0","TimBouhour","Raleigh, NC",""
"@united After all I have been through on this trip, can you get me on another airline home?","neutral",0.6414,"2015-02-21 19:00:43 -0","patrick_maness","Rhode Island","Eastern Time (US & Canada)"
"@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.","negative",1,"2015-02-21 18:59:47 -0","keithdunn","arlington, va","Eastern Time (US & Canada)"
"@united boarding a #plane would be much faster if you boarded back to front instead of front to back #MakesSense #efficiency #travel #flying","negative",0.6702,"2015-02-21 18:59:38 -0","stevestillalive","San Diego, CA","Pacific Time (US & Canada)"
"@united it's 9:56, and the desk attendant stated we would ""sit awhile"" until given the all clear. Lack of communication seems to the norm.","negative",1,"2015-02-21 18:57:31 -0","ZachAlpert","Chicago, IL","Central Time (US & Canada)"
"@united had been suffering immensely ever since this merge .. Hopefully I'll never have to fly @united ever again ..","negative",1,"2015-02-21 18:57:05 -0","Sean_Stamos","Coastal","Eastern Time (US & Canada)"
"@united I'd really like to get off of this plane now.","negative",1,"2015-02-21 18:54:41 -0","tarlonious","",""
"@united possibly the worst airlineGave them three chances Second time in 2 weeks a flight has been delayed and or Cancelled Flightled due to mechanics","negative",1,"2015-02-21 18:54:36 -0","Sean_Stamos","Coastal","Eastern Time (US & Canada)"
"@united cabin pressurization issues are pretty serious. Flight 1109 landed in Washington because of it. My head is pounding.","negative",1,"2015-02-21 18:52:07 -0","patrickbeiers","ORLANDO, FL",""
"@united Sandra at ur international checkin counter was rude and offensive.  She commented she didn't care if I complained cuz she had 25yrs","negative",1,"2015-02-21 18:49:38 -0","MMMarketing2014","#Westford #marketing ",""
"@united My contact stuff is in the bag and I'm legally blind. This is so messed up.","negative",0.6762,"2015-02-21 18:49:24 -0","patrick_maness","Rhode Island","Eastern Time (US & Canada)"
"@united Did I mention that I was ON THE PLANE so is my luggage. My luggage that I'm not going to have for how many days.","negative",1,"2015-02-21 18:48:55 -0","patrick_maness","Rhode Island","Eastern Time (US & Canada)"
"@united 3 times I've called customer services each at least 40 mins... Each time cut off by your operators... Why can't you call me back!","negative",1,"2015-02-21 18:47:43 -0","FarmerFlo","Cheltenham",""
"@united Tell me that you're at least going to cover a room and get me out of here.","negative",1,"2015-02-21 18:44:54 -0","patrick_maness","Rhode Island","Eastern Time (US & Canada)"
"@united OMG!!! you just bumped me off the last flight. Can this get any worse.","negative",1,"2015-02-21 18:44:25 -0","patrick_maness","Rhode Island","Eastern Time (US & Canada)"
"@united Which just speaks to basically the worst designed web system ever.","negative",1,"2015-02-21 18:41:07 -0","niais","Austin, TX","Central Time (US & Canada)"
"@united Yeah, I tried that about 10 times for two different tickets, and it told me to ""Try again Late Flightr"".","negative",1,"2015-02-21 18:40:33 -0","niais","Austin, TX","Central Time (US & Canada)"
"@united please fire the captain of flight 6232 today. He single handedly ruined every passengers day by being a piece of shit. #unitedsucks","negative",1,"2015-02-21 18:37:26 -0","throthra","",""
"@united U blow","neutral",0.6774,"2015-02-21 18:34:24 -0","Manda_Bear_143","401 SK","Eastern Time (US & Canada)"
"@united what exactly do you hang on this hook? http://t.co/ZHxOk07Aqa","negative",0.6737,"2015-02-21 18:32:08 -0","hadAbadWeek","",""
"@United - flight Cancelled Flightled. 4 hrs at airport to book a new one for $95. Just got two invoices for the flight, each for approx $300. Really?!","negative",1,"2015-02-21 18:29:19 -0","hsimpson100","Belfast/Boston",""
"@united why do you hire POS pilots? Thanks for ruining my trip and not allowing me to see my buddy as he turns 30. #unitedsucksdick","negative",1,"2015-02-21 18:27:53 -0","throthra","",""
".@united Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.","negative",1,"2015-02-21 18:27:05 -0","MaxAbrahms","Boston, MA","Atlantic Time (Canada)"
"@united what's the best way to get your tickets? Print off at home or go to check in desk?","neutral",1,"2015-02-21 18:26:45 -0","BryceHuffman","Saskatchewan ","Mountain Time (US & Canada)"
"@united Pay for my hotel.... I'm a broke student #help","negative",1,"2015-02-21 18:24:14 -0","leahgenise","","Quito"
"@united all 4 of us are on standby in Houston tomorrow for flights to Calgary. If you could get us on one or two of those that would help","negative",0.3603,"2015-02-21 18:23:54 -0","c4pyro","",""
"@united what a nightmare!!  Both sides of my flights are a disaster!  At Houston getting attitude cuz I was sent to ticket counter","negative",1,"2015-02-21 18:19:41 -0","MMMarketing2014","#Westford #marketing ",""
"@united you're terrible.","negative",1,"2015-02-21 18:17:03 -0","JSJ35","Blue Area of the Moon","Eastern Time (US & Canada)"
"@united it was eventually explained that weather conditions too extreme to get luggage off planes. Will be sent on. But I won't be for days!","negative",1,"2015-02-21 18:14:18 -0","StephanieCarvin","Ottawa, Canada","Eastern Time (US & Canada)"
"@united Anyone there? Did you read my DM?","negative",0.6923,"2015-02-21 18:14:06 -0","cbtadvisors","Cambridge, MA, USA","Central Time (US & Canada)"
"@united 732 from Denver. We just boarded! Fingers crossed we get into the air!!!","positive",0.6496,"2015-02-21 18:13:32 -0","absfine","","Arizona"
"@united EWR TO MCO made unplanned landing because of pressurization failure. Worst pain I've EVER felt, I thought I was going to pass out","negative",1,"2015-02-21 18:13:09 -0","patrickbeiers","ORLANDO, FL",""
"@united How does that make a flight takeoff on time? And regardless it makes me Late Flight because now I have to wait for my bag at baggage claim.","negative",1,"2015-02-21 18:11:43 -0","yajur","Chicago","Central Time (US & Canada)"
"@united it's been over 3 hours...at what point do you let people off of the plane? @FoxNews @CNN @msnbc","negative",1,"2015-02-21 18:11:23 -0","tarlonious","",""
"@united trying to get a customer service agent.  Just landed in SFO.  Can't fly with 3 layovers with 3 kids!!","negative",1,"2015-02-21 18:11:06 -0","jackiehoglund","Boston, MA","Quito"
"@united why are there no early morning flights from HNL to anywhere in the continental US? Example- Monday 4/20. Need flight to PHL","neutral",0.6437,"2015-02-21 18:08:16 -0","JoeRychalsky","Wilmington, Delaware","Eastern Time (US & Canada)"
"@united nope I gave up - maybe they'll deliver it","negative",1,"2015-02-21 18:04:07 -0","richardtitus","San Francisco, California","London"
"@united Thanks for the upgrade- please try to get my company to approve more business class travel.","positive",0.6997,"2015-02-21 18:03:37 -0","Mumon7","Vancouver, WA","Pacific Time (US & Canada)"
"@united more and more delays! No CS help at all! No notifications!","negative",1,"2015-02-21 18:03:27 -0","ZachAlpert","Chicago, IL","Central Time (US & Canada)"
"@united and waiting","negative",1,"2015-02-21 18:03:05 -0","tarlonious","",""
"@united hoping there is a spare a/c for 1171 tomorrow!  Have a ship to board!  The sched aircraft is delayed from previous flts.","negative",0.6674,"2015-02-21 18:01:30 -0","micp3208","Ocean, NJ",""
"@united Hubby made it by the skin of his teeth!   :)","positive",0.656,"2015-02-21 18:00:57 -0","mrskmwatkins","Philly Burbs",""
"@united the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.","negative",1,"2015-02-21 18:00:06 -0","JeremyPress1","",""
"@united 1st u delay my flight for mechanical failure,then 2 hrs on the runway, &amp; 13 hrs Late Flightr I'm still here with a lost bag &amp; no resolution","negative",1,"2015-02-21 17:54:48 -0","SoulFreeDreams","Columbus,Ohio","Eastern Time (US & Canada)"
"@united is the worst","negative",1,"2015-02-21 17:51:28 -0","SoulFreeDreams","Columbus,Ohio","Eastern Time (US & Canada)"
"@united still waiting","negative",1,"2015-02-21 17:45:51 -0","tarlonious","",""
"@united thanks for the reply. To clarify, the airfare is similar to your likely intended peer group. The $3 beer charge, however, is not","negative",1,"2015-02-21 17:40:30 -0","EYA10","",""
"@united...lies lies lies....still sitting at the gate, have not moved an inch http://t.co/LulGnwEfFH","negative",1,"2015-02-21 17:40:26 -0","ericjramsey","Washington, DC","Pacific Time (US & Canada)"
"@united I have requested upgrade for EWR BOM flight, end of May. Miles + copay. When will i know if I am upgraded?","neutral",0.6259,"2015-02-21 17:38:36 -0","jyotipethe","Austin, Tx","Central Time (US & Canada)"
"@united &amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myself/others in rows behind him used w/no issue","negative",1,"2015-02-21 17:38:35 -0","damahoff","Milwaukee, WI","Central Time (US & Canada)"
"@united #customerservice at @Dulles_Airport could not be worse. I get the bad weather, but this is awful.","negative",1,"2015-02-21 17:38:03 -0","aaron_lawlor","Vernon Hills, IL","Central Time (US & Canada)"
"@united any plans of restating nonstop service between IAD and South Florida?  We miss our flights to FLL.","neutral",1,"2015-02-21 17:36:06 -0","MarkKostka1","",""
"@united instead of be told when we board, we have to wait for the emails telling us about the delays.","negative",1,"2015-02-21 17:34:48 -0","ZachAlpert","Chicago, IL","Central Time (US & Canada)"
"@united Additionally, my husband paid for tv service &amp; it stopped working about halfway through the flight.","negative",1,"2015-02-21 17:32:43 -0","damahoff","Milwaukee, WI","Central Time (US & Canada)"
"@united following","neutral",1,"2015-02-21 17:30:40 -0","gwen1013","New Haven, CT",""
"@united unfortunately, they didn't. I asked the staff if they could help. they said we should ask ppl in our row to switch, but no one would","negative",1,"2015-02-21 17:30:32 -0","damahoff","Milwaukee, WI","Central Time (US & Canada)"
"@united please update what is going to happen to passengers now that flt ua14 has been Cancelled Flightled","neutral",0.6641,"2015-02-21 17:30:19 -0","idontbesoft","",""
"@united your baggage person told me to go through @AirCanada - they're handling my connecting flight.","negative",0.6465,"2015-02-21 17:28:05 -0","maxcotter","toronto","Central Time (US & Canada)"
"@united I sent a PM over two weeks ago and have heard nothing!  #horribleservice #unitedsucks","negative",1,"2015-02-21 17:27:31 -0","lala0178","pensacola",""
"@united Well, to the degree that he could... Just to know, after this experience I'm Cancelled Flighting my miles card. Thank god for @Delta","negative",0.6571,"2015-02-21 17:25:51 -0","majacgray","Brooklyn, NY","Eastern Time (US & Canada)"
"@united thank you! Excited to be working with you guys!","positive",1,"2015-02-21 17:24:05 -0","Pseudonymous","","Pacific Time (US & Canada)"
"@united could really use your help getting our bags at IAD. We're headed to YOW but now going to YXU","neutral",0.6904,"2015-02-21 17:22:54 -0","Colettod","Ottawa, ON","Eastern Time (US & Canada)"
"@united It appears there are six flights to Calgary tomorrow is this correct?","neutral",1,"2015-02-21 17:19:54 -0","c4pyro","",""
"@united And yet we still haven't left yet and I can't watch my pre-paid DirectTV. #firstworldproblems","negative",1,"2015-02-21 17:14:09 -0","tarlonious","",""
"@united yr team have me on hold for over an hour unhelpful Pls can you answer my question.","negative",1,"2015-02-21 17:11:21 -0","Jo_Frost","Global","Quito"
".@united Let us know when you find everyone's luggage. Thanks. #UnitedAirlines","negative",1,"2015-02-21 17:08:49 -0","getpatrick","Montreal, Quebec CA","Eastern Time (US & Canada)"
"@united do u serve peanuts/nuts on yr flights yr policies r confusing contradictory advice Pls help #Anaphylaxis,will u ask those 2 refrain?","neutral",0.6805,"2015-02-21 17:08:11 -0","Jo_Frost","Global","Quito"
"@united is there another airport closer to Calgary we can fly out of tomorrow.","neutral",1,"2015-02-21 17:08:04 -0","c4pyro","",""
"@united Nope! I'm on UA 174 that was supposed to leave at 6:47 but are still at the gate. Apparently we are about to pull back and de-ice.","negative",1,"2015-02-21 17:07:45 -0","tarlonious","",""
"@united Still do not have my bag, it's in the CLT airport. Was originally told I would have it by 2pm.","negative",1,"2015-02-21 17:05:49 -0","hannahcbeck","Hoboken, NJ","Eastern Time (US & Canada)"
"@united Yes. About an hour after landing.","neutral",0.6672,"2015-02-21 17:05:37 -0","BethRunsDisney","NYC","Eastern Time (US & Canada)"
"@united just texted me to say flight is delayed due to air traffic control. BS! They pulled the plane in Late Flight #lies","negative",1,"2015-02-21 17:04:47 -0","Randy_King_SF","San Francisco, CA","Pacific Time (US & Canada)"
"@united 6 minutes to boarding at b12 in Ord. No sign of gate agent. A little help?","negative",1,"2015-02-21 17:01:40 -0","seansegal","","Eastern Time (US & Canada)"
"@united On flight 1220 right now...","neutral",1,"2015-02-21 16:59:34 -0","CoachMcRoberts","Oxford, MS",""
"@united Can you help me get a flight out tonight to Houston?Just don't want to be stuck here till Monday with all this bad weather moving in","neutral",1,"2015-02-21 16:58:24 -0","CoachMcRoberts","Oxford, MS",""
"@united website says my flight is on time. It leaves in 15 min and nobody has boarded yet. #pathetic #needtobehonest","negative",1,"2015-02-21 16:55:50 -0","Randy_King_SF","San Francisco, CA","Pacific Time (US & Canada)"
"@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.","negative",1,"2015-02-21 16:55:29 -0","cbtadvisors","Cambridge, MA, USA","Central Time (US & Canada)"
"@united we are the airline that has Cancelled Flightled flights TOMORROW to the NYC area","negative",1,"2015-02-21 16:52:52 -0","lowenberg","",""
"@united hoping to get out earlier than 2/23 (only phone option) or assistance with hotel.","neutral",0.6814,"2015-02-21 16:52:44 -0","gwen1013","New Haven, CT",""
"@united having to pay for a hotel room in Cleveland because of last minute Cancelled Flightled connecting flight. Booked through united..Unimpressed!","negative",1,"2015-02-21 16:50:54 -0","leahgenise","","Quito"
"@united I was on UA3782 and it was Cancelled Flightled. I'm waiting at customer service.","negative",0.6236,"2015-02-21 16:50:29 -0","gwen1013","New Haven, CT",""
"@united I was on UA1069 today and left my sunglasses in seat 26F. Please help me get them back! #UnitedAirlines","neutral",0.6854,"2015-02-21 16:46:35 -0","atom_burke","New York, NY",""
"@united Flight has been delayed for another hour so only have 24 mins to transit at LAX... Extremely unlikely I will make it!","negative",1,"2015-02-21 16:45:05 -0","Angela_Saurine","Sydney, Australia","Sydney"
"@united 4595. We are now going back to the gate b/c of something overheating after sitting out here for 3+ hours.Love United but this stinks","negative",1,"2015-02-21 16:44:17 -0","CoachMcRoberts","Oxford, MS",""
"@united congratulations united. Fail again. Sky at a gate with a plane full of people waiting on 2. Weather gets worse now we can't leave.","negative",1,"2015-02-21 16:43:22 -0","ScottyNeuman","Montana, God's country
","Pacific Time (US & Canada)"
"@united thank you for leaving my bag in houston! despite what your system says, i was definitely on the flight!","negative",1,"2015-02-21 16:42:11 -0","maxcotter","toronto","Central Time (US & Canada)"
"@united how come a $27 shuttle bus from LGA to EWR has electrical power outlets but our new Airbus interiors do not? #whyjeff?","negative",1,"2015-02-21 16:40:12 -0","flyinhoc1","",""
"Reply to @united - Doesn't do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.","negative",0.6831,"2015-02-21 16:35:19 -0","ByronJ","Foster City, CA",""
"@united 15-hr flight w/broken #Dreamliner media system. Witness #mental #breakdown as we bounce off walls. Remind me why I'm 1K.","negative",1,"2015-02-21 16:33:52 -0","DJTouf","Buffalo, NY",""
"@united I was rebooked thru SFO but arrive 9 hours Late Flight and miss activities. I asked to fly today with stop over. Was told I'd have to pay.","negative",1,"2015-02-21 16:31:13 -0","HPStorageGuy","Boise","Mountain Time (US & Canada)"
"@united never again.","negative",1,"2015-02-21 16:31:13 -0","JSJ35","Blue Area of the Moon","Eastern Time (US & Canada)"
"@united tonight you made this Fred Flintstone happy with an upgrade to 1st class. http://t.co/gKgKZLAwpR","positive",1,"2015-02-21 16:29:20 -0","minion444","Central NJ","Eastern Time (US & Canada)"
"@united who do I need to contact regrading a complaint and to get a voucher funds for future travel on United?","neutral",0.6196,"2015-02-21 16:23:52 -0","jbishop309","","Mountain Time (US & Canada)"
"@united is trying to strand us in Houston until tomorrow morning. pretty sure overFlight Booking Problems and maintenance aren't our fault.","negative",1,"2015-02-21 16:18:06 -0","thatchickmaggie","Washington, DC","Eastern Time (US & Canada)"
"@united  your costumer service today in the Providence airport was sucked. Recommend your airline learn to check the weather and be honest","negative",1,"2015-02-21 16:16:25 -0","bartha75","san diego",""
"@united fire yr rep who refused to put me on a flight that I had a boarding pass and seat on. Full explanation and her name in complaint.","negative",1,"2015-02-21 16:08:48 -0","ExplodingGreen","Portland, Oregon","Pacific Time (US & Canada)"
"@united that's great! pls let me know when u start!","positive",1,"2015-02-21 16:07:55 -0","michaelmcd","Beijing | Los Angeles","Beijing"
"@united @ehsanisMpowered lmfao","neutral",0.6522,"2015-02-21 16:07:47 -0","Abdelati786","Heart of America","Central Time (US & Canada)"
"@united God damn fucking crew won't be here till 6:40, so you've known for over an hour and a half the flight time was bullshit.","negative",1,"2015-02-21 16:07:28 -0","hadAbadWeek","",""
"@united you really do have a culture problem. Everyone I tried to work with blamed someone else or told me how they're short staffed","negative",1,"2015-02-21 16:04:29 -0","luko","Pittsburgh","Quito"
"@united sucks.","negative",1,"2015-02-21 15:58:26 -0","JSJ35","Blue Area of the Moon","Eastern Time (US & Canada)"
"@united I can understand that but to not have another plane available when there is a full day till departure is unacceptable. Phoenix?","negative",1,"2015-02-21 15:54:06 -0","lowenberg","",""
"@united is honestly RUINING MY FUCKING LIFE RIGHT NOW. NEVER AGAIN!!!!!!!!!!!!!!!!!!!!!!!!!!!","negative",1,"2015-02-21 15:53:40 -0","annnnge","☁️",""
"@united Flight Cancelled Flightled to BDL and stranded @Dulles_Airport. Waiting almost 2hrs at customer service. Shout out to diligent agents.","negative",1,"2015-02-21 15:52:20 -0","gwen1013","New Haven, CT",""
"@united where's the crew for ua748?","neutral",0.6325,"2015-02-21 15:49:05 -0","JSJ35","Blue Area of the Moon","Eastern Time (US & Canada)"
"@united thanks ... not sure arranged move to the earlier flight but I'm at the gate with a seat assignment.  Super nice agent at gate C4 ORD","positive",1,"2015-02-21 15:47:34 -0","jimccooper","","Eastern Time (US & Canada)"
"@united quality work going on here. http://t.co/9xbO5daKaK","negative",0.6565,"2015-02-21 15:42:56 -0","ZachAlpert","Chicago, IL","Central Time (US & Canada)"
"@united No customer service rep could confirm where my bag was &amp; each gave me different info. Ruined 2 events I had today. #disappointed","negative",1,"2015-02-21 15:42:29 -0","hannahcbeck","Hoboken, NJ","Eastern Time (US & Canada)"
"@united We've let you know how to help the millions of customers you've treated like garbage. It's no coincidence ur ranked WORST airline.","negative",1,"2015-02-21 15:41:03 -0","MaxAbrahms","Boston, MA","Atlantic Time (Canada)"
"@united yes, after landing at 930pm last night. Spoke to 10 baggage claim customer service reps. Finally spoke to one amazing ticket agent.","negative",0.7053,"2015-02-21 15:39:00 -0","hannahcbeck","Hoboken, NJ","Eastern Time (US & Canada)"
"@united Charging $6500 for biz flight to UK = somewhat egregious. Charging $3 on top for a Sam Adams draft at the United Club is usurious.","negative",1,"2015-02-21 15:36:44 -0","EYA10","",""
"@united I see. Thanks for explaining.","positive",0.6787,"2015-02-21 15:33:51 -0","SmallMol","A Californian in London",""
"@united Your social listening capabilities are awful if this is the reply for the context in which you were mentioned @stevelord212","negative",1,"2015-02-21 15:31:49 -0","gerryrard","New York City","Eastern Time (US & Canada)"
"@united If you follow me I will DM you my phone # which you can call.","negative",1,"2015-02-21 15:30:31 -0","MaxAbrahms","Boston, MA","Atlantic Time (Canada)"
"@united After an hour+ wait, my issue is resolved. I did contact customer service to comment on the wait time. Thanks for contacting me.","positive",1,"2015-02-21 15:29:22 -0","SmallMol","A Californian in London",""
"@united Yes, they did. Must have fixed the broken ramp. Thanks!","positive",0.6533,"2015-02-21 15:25:53 -0","WendyJaccard","Virginia/Metro Washington, DC","Eastern Time (US & Canada)"
"@united Flight:UA1750 is basically a prison on the runway @ SFO 6delays 4hrs of sitting no water no answers. reminded y I hate this airline","negative",1,"2015-02-21 15:24:08 -0","kevinforgoogle","San Francisco, CA",""
"@united thanks","positive",0.6809,"2015-02-21 15:23:19 -0","untalMontfort","Mexico City, Mexico","Central Time (US & Canada)"
"@united hey, I missed my outbound flight - can I still use my return ticket?","neutral",1,"2015-02-21 15:20:46 -0","SallyM0nster","Muswell Hill","London"
"@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!","negative",1,"2015-02-21 15:20:24 -0","keykeydoodle","Wonderland","Eastern Time (US & Canada)"
"@united seriously? 2-4 hrs to get bags from IAD intl arvls to carousel 2 for custs w/Cancelled Flightled connects? I understand irrops but ridiculous!","negative",1,"2015-02-21 15:20:22 -0","davidblevine","What day is it?","Quito"
"@united most terrible flight experience happening to everyone right now on Flight:UA1750 6 delays 4 hrs total missed all my flights now thnx","negative",1,"2015-02-21 15:20:13 -0","kevinforgoogle","San Francisco, CA",""
"@united @USAirways @AmericanAir @americanone one of you has my bag! Claim 4016688561 and i want it in MGA!!!! Now!!!","negative",1,"2015-02-21 15:18:31 -0","keykeydoodle","Wonderland","Eastern Time (US & Canada)"
"@united you have failed so uncontrollably today that it's beyond repair. I'm beyond livid with your absolute disregard to operations.","negative",1,"2015-02-21 15:17:43 -0","ZachAlpert","Chicago, IL","Central Time (US & Canada)"
"@united The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/N2fvElcYgz","neutral",1,"2015-02-21 15:17:00 -0","jamescalderwood","South Australia",""
"@united A friend traveled via UA1470 today and never got their luggage. What recourse does the person have? Buy clothes and get reimbursed?","negative",1,"2015-02-21 15:14:33 -0","Far3TheeWell","","Eastern Time (US & Canada)"
"@united I keep getting kicked to an error message when trying to purchase a flight on http://t.co/p3N2w8JfpS. Have tried at least 4x.","negative",1,"2015-02-21 15:12:22 -0","carolinepqrst","Austin, TX",""
"@united - any way to get a message to an international flight gate at EWR?      Road conditions are horrible trying to get to flight ...","neutral",1,"2015-02-21 15:11:45 -0","mrskmwatkins","Philly Burbs",""
"@united Hello we are doing a world record attempt on the amount of ball point pens in a collection please could you help with a pen?","neutral",0.6308,"2015-02-21 15:11:34 -0","GreenkidspenWRA","Grimsby - UK",""
"@united you have a culture issue","negative",1,"2015-02-21 15:09:32 -0","luko","Pittsburgh","Quito"
"@united rep wouldn't rebook. This is such a waste of time and poor communication","negative",1,"2015-02-21 15:09:14 -0","Keels2515","Raleigh, NC","Eastern Time (US & Canada)"
"@united my flight is Late Flight due to mechanical issues 3 of 4 flights in past 10 days!","negative",1,"2015-02-21 15:08:01 -0","loracle","California","Pacific Time (US & Canada)"
"@united employees almost seem happy when delivery terrible customer service.","negative",1,"2015-02-21 15:06:22 -0","luko","Pittsburgh","Quito"
"@united can I get your service desk # at IAD?","neutral",0.6651,"2015-02-21 15:04:51 -0","BekeAbe","Gooner","Eastern Time (US & Canada)"
"@united its 2015. How can my flight from a major city already be Cancelled Flightled 24 hours before departure due to weather??  Backup planes??","negative",1,"2015-02-21 14:58:42 -0","lowenberg","",""
"@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!","positive",1,"2015-02-21 14:55:14 -0","eotoro","iPhone: 0.000000,0.000000","Central Time (US & Canada)"
"@united Been on hold on the phone for well over half an hour, waiting to make a reservation change I *wanted* to make online. Help!","negative",1,"2015-02-21 14:48:01 -0","SmallMol","A Californian in London",""
"@united 2/2 Instead, had to wait on plane from Ottawa that never came. Now I'm back home and have to try again tomorrow. Suitcase still lost","negative",1,"2015-02-21 14:38:35 -0","jimbradshaw4","","Eastern Time (US & Canada)"
"@united i'm glad u can solve the prob. But my experience remains - will not fly again on #United","negative",0.66,"2015-02-21 14:38:26 -0","hoozsah","",""
"@united u Cancelled Flighted my flight from IAD to JAX. Was supposed to use plane from BNA but u used that plane for another destination instead. 1/2","negative",1,"2015-02-21 14:37:44 -0","jimbradshaw4","","Eastern Time (US & Canada)"
"@United appreciate the early arrival of UA1002, but any chance ORD will ever bring the bags out?","negative",1,"2015-02-21 14:29:34 -0","joshanon","San Francisco, CA","Pacific Time (US & Canada)"
"@united - it is possible to make a ticket change via Twitter? Traveling internationally and can't make calls... Thanks in advance!","neutral",1,"2015-02-21 14:29:22 -0","bradleycfox","Seattle, WA / 36,000 feet","Pacific Time (US & Canada)"
