"Text","Sentiment","SentimentConfidence","Date","Candidate","User","Location","User_timezone"
"@realDonaldTrump @megynkelly @bretbaier #GOPDebate Mods job is2 ask Qs we don't know answers 2 not bait &amp; target a candidate #Trump2016","positive",0.6932,"2015-08-07 09:20:02 -0700","Donald Trump","MikeandDawnNY","Brooklyn, NY","Eastern Time (US & Canada)"
"RT @Didikatz: @ZeitgeistGhost #GOPDebate last night clarified that it's not a clown car, it's a loony van of sociopaths.","negative",1,"2015-08-07 09:20:01 -0700","No candidate mentioned","ZeitgeistGhost","Norcal","Pacific Time (US & Canada)"
"RT @goldengateblond: The one thing I've learned here is Donald Trump's co-stars on his new reality show don't seem to like him very much. #…","negative",0.6595,"2015-08-07 09:20:01 -0700","Donald Trump","lisapapp","Bellingham, WA","Pacific Time (US & Canada)"
"#gopdebate Made for great TV. If I was a Repub I'd want Kasich/Rubio (or Fiorina) but I'm not so I don't.","negative",0.6824,"2015-08-07 09:20:00 -0700","John Kasich","jeffklepper","Boston","Eastern Time (US & Canada)"
"Drinking and watching the #GOPDebate is making Friday morning very difficult to get through.","neutral",0.3261,"2015-08-07 09:19:59 -0700","No candidate mentioned","mehtatheory","","Pacific Time (US & Canada)"
"RT @TheBaxterBean: No #PlannedParenthood hasn't profited from selling baby parts, that was Mitt Romney #GOPDebate http://t.co/B8uo2Moeod ht…","neutral",0.3596,"2015-08-07 09:19:58 -0700","No candidate mentioned","Praedor","USA","Mountain Time (US & Canada)"
"DeclarationOfIndependence mentions
3 Rights:
Life,Liberty&amp;thePursuitOfHappiness. 
#GOPDebate reveals denial4someOfUS! http://t.co/5QyKiPOinB","negative",0.6706,"2015-08-07 09:19:57 -0700","No candidate mentioned","BlackPearlMoi","Paradiso ","Atlantic Time (Canada)"
"RT @goldengateblond: They just brought up Planned Parenthood, thus introducing the ""no I'M more anti-woman"" portion of our program. #GOPDeb…","negative",0.6774,"2015-08-07 09:19:57 -0700","No candidate mentioned","LaMonica","Detroit","Eastern Time (US & Canada)"
"RT @JohnFugelsang: These low-polling candidates are the only 1 percenters the GOP doesn't love. #gopdebate","negative",0.6347,"2015-08-07 09:19:56 -0700","No candidate mentioned","terri_georgia","Georgia USA","Eastern Time (US & Canada)"
"RT @L_EdwinSaar: Dr Carson: Progressives depend on the ignorance of the American people. 

Said the man who compared Obamacare to slavery. …","negative",1,"2015-08-07 09:19:56 -0700","Ben Carson","quarterflash14","buckle of the bible belt",""
"RT @DickMorrisTweet: Who Won The Debate? Dick Morris TV: Lunch Alert! http://t.co/4XvN7N5lv1 #GOPDebate #Election2016 @realDonaldTrump @ted…","neutral",1,"2015-08-07 09:19:55 -0700","Donald Trump","hawaiiluvstrump","",""
"RT @adelsbergerdan: After hearing the summary from the  #GOPDebate last night, if a Republican wins the election, we're screwed","negative",1,"2015-08-07 09:19:54 -0700","No candidate mentioned","BustyMullet","Ohio",""
"Ted Cruz, born in Canada. Nobody say shit. This stuff is comical. #GOPDebate","negative",1,"2015-08-07 09:19:54 -0700","Ted Cruz","LeGreatScott","Phoenix, AZ",""
"2016 bender starts now #SkimmLife #GOPDebate http://t.co/NL6ppeA2bO via @theSkimm","neutral",0.6675,"2015-08-07 09:19:53 -0700","No candidate mentioned","rebtschetter","Omaha, NE","Central Time (US & Canada)"
"RT @benshapiro: BTW, I cannot stand John Kasich. But he did well tonight. Which makes me slightly nauseous. #GOPDebate","negative",0.6386,"2015-08-07 09:19:52 -0700","John Kasich","lorizellmill","",""
"Oh they are real and even have the same hair, sorta.  They are all @realDonaldTrump 
#GOPDebate  https://t.co/mTQdsDGPEb","neutral",0.3548,"2015-08-07 09:19:52 -0700","Donald Trump","katie91187","NYFP",""
"It seems that the #GOPDebate was kinda dull cause candidates being plain ol' racist, sexist warmongers just doesn't do it anymore.","negative",1,"2015-08-07 09:19:52 -0700","No candidate mentioned","Wolfrum","Brazil","Santiago"
"RT @AnneBayefsky: .@RealBenCarson: I’m the only one to take out half a brain but if you look at Washington you might think somebody beat me…","negative",0.6685,"2015-08-07 09:19:50 -0700","Ben Carson","Freedom4Dummies","",""
"I'm pretty sure that Megan KKKelly had the biggest fake eyelashes ever at any #gopDebate.","negative",1,"2015-08-07 09:19:49 -0700","No candidate mentioned","KW2Kenai","Gulf Coast, Florida","Eastern Time (US & Canada)"
"With #CarlyFiorina making positive name for herself in the #GOPDebate, #HillaryClinton is certain to self destruct! https://t.co/di7m31RFIY","neutral",0.6562,"2015-08-07 09:19:49 -0700","No candidate mentioned","algcolvin","United States of America",""
"If you are one to complain about America's corrupt 2 party system - you better not complain about Trump's threat last night #Vote #GOPDebate","positive",0.3534,"2015-08-07 09:19:49 -0700","Donald Trump","hellojoshpaul","California, USA","PDT"
"Intern on #GOPDebate: ""this lady kept asking questions about gay rights and lesbians and women's rights. It was ridiculous.""","negative",0.3402,"2015-08-07 09:19:48 -0700","No candidate mentioned","ButteredLoaf","","Eastern Time (US & Canada)"
"RT @SpacePlankton: I really hope Shelli gets evicted then they announce a twist that brings Jason back. #GOPDebate","negative",0.6703,"2015-08-07 09:19:47 -0700","No candidate mentioned","TheAngryMailGuy","Monroeville, IN","Eastern Time (US & Canada)"
"RT @kwdayboise: Fact checking the GOP candidates' statements in debate http://t.co/QjssdIkKPD via @NewsHour #GOPDebate","neutral",1,"2015-08-07 09:19:47 -0700","No candidate mentioned","iphooey","USA","Central Time (US & Canada)"
"We Watched The Debate With A Bunch Of Conservative Activists. Here's How They Reacted #GOPDebate http://t.co/Ug21fI5FcE via @dailycaller","neutral",1,"2015-08-07 09:19:46 -0700","No candidate mentioned","TheWorldsFrates","Washington, D.C.","Eastern Time (US & Canada)"
"RT @deray: Ben Carson essentially just said race doesn't matter. #GOPDebate","negative",0.6559,"2015-08-07 09:19:43 -0700","Ben Carson","lawhornx","San Diego, CA","Pacific Time (US & Canada)"
"So,@realDonaldTrump  is now whining because questions posed were not fair. #whinybaby #notpresidential #GOPDebate","negative",0.6392,"2015-08-07 09:19:42 -0700","Donald Trump","LupusVernula","Seattle, WA","Pacific Time (US & Canada)"
".@realDonaldTrump might've shot himself in the foot losing the support of women with this behavior http://t.co/JA96Jes4oU #GOPDebate","negative",1,"2015-08-07 09:19:42 -0700","Donald Trump","ckalapala","Earth","Central Time (US & Canada)"
"@ThePhoenixSun a gay wedding is not a wedding #gopdebate http://t.co/0Vw7ht3uO2","negative",0.6237,"2015-08-07 09:19:42 -0700","","helpmenow12","",""
"I made a good choice #Rectify over the #GOPDebate...#priorities","neutral",0.6023,"2015-08-07 09:19:42 -0700","No candidate mentioned","SaraTaylr","KC and Mile High ",""
"RT @johnlundin: 17 Funniest Tweets on #GOPDebate Failing to Even Mention Climate Change http://t.co/CxOXwPA3j0 #climate","negative",0.6556,"2015-08-07 09:19:42 -0700","No candidate mentioned","laprofe63","Chicagoland #USA via #NYC ","Central Time (US & Canada)"
"is there any way I can watch the whole debate from last night?? #help #GOPDebate","neutral",0.6552,"2015-08-07 09:19:40 -0700","No candidate mentioned","bongtassstic","",""
"Trump whines about tough questions; 'Megyn behaved very nasty to me' http://t.co/jylEVqSzRr #GOPDebate #Election2016","neutral",0.3511,"2015-08-07 09:19:39 -0700","Donald Trump","Wisco","Wisconsin, US","Central Time (US & Canada)"
"""We cannot give away money we don't have"" @RandPaul #ThingsThatShouldBeBasicLogic #GOPDebate","neutral",0.6801,"2015-08-07 09:19:37 -0700","Rand Paul","Lady_Battle","Minnesota","Central Time (US & Canada)"
"RT @hiphughes: ""America is stupid. Mexico is really smart. Elect me or you're stupid too."" ~Donald Trump #GOPDebate","negative",0.6552,"2015-08-07 09:19:36 -0700","Donald Trump","giocrafted","NY, baby ✌️",""
"@realDonaldTrump is a breath of fresh air but increasingly careless and generic. Long road to the #WhiteHouse; could get stale #GOPDebate","negative",1,"2015-08-07 09:19:36 -0700","Donald Trump","ParodyKing","","Pacific Time (US & Canada)"
".@realDonaldTrump: Now some of the people you would least expect are calling me up and apologizing. #Hannity #GOPDebate","negative",0.6966,"2015-08-07 09:19:36 -0700","Donald Trump","ethansimmons111","",""
"A debate should be between 2 candidates. Not between a candidate and a moderator. The moderators should be time keepers only. #GOPDebate","negative",1,"2015-08-07 09:19:35 -0700","No candidate mentioned","Kerryepp","","Central Time (US & Canada)"
"RT @bree_mars: So about that ""pledge""...I'll just leave this right here. @realDonaldTrump @RandPaul @RonPaul @DanScavino #GOPDebate http://…","negative",0.7083,"2015-08-07 09:19:34 -0700","Donald Trump","zachary_weeden","Connecticut, USA",""
"Donald #Trump: great television, horrible statesmanship. @realDonaldTrump #GOPDebate And don't call me a ""hater"" because I am not. #Sad","negative",0.6843,"2015-08-07 09:19:33 -0700","Donald Trump","BamaStephen","Alabama ","Central Time (US & Canada)"
"I am not the biggest @megynkelly fan in the world. (Or Fox in general) but I really enjoyed her question to Trump about women #GOPDebate","positive",0.6889,"2015-08-07 09:19:32 -0700","Donald Trump","mortalcassie","724","Eastern Time (US & Canada)"
"@RealBenCarson was my early favourite until he compared taxes to tithing. Keep religion out it out dude! #GOPDebate","negative",1,"2015-08-07 09:19:30 -0700","Ben Carson","annemargaretj","Breslau, Ontario ",""
"#GOPDebate @RandPaul so when 'the government tries to invade the church' there's an issue but not when religion invades politics?","negative",1,"2015-08-07 09:19:28 -0700","No candidate mentioned","mayapilbrow","your actual anus","Hawaii"
"Political debates teach marketers how not to message to audiences today. Be direct don't deflect! #GOPDebate @OrlandoDish @KeenaMcGee","negative",1,"2015-08-07 09:19:26 -0700","No candidate mentioned","JeetendrSehdev","Los Angeles","Pacific Time (US & Canada)"
"The ""If we knew what we know now"" Q's regarding #IRAQ are idiotic as they are insulting to all of the #veterans who served there! #GOPDebate","negative",1,"2015-08-07 09:19:26 -0700","No candidate mentioned","Frankie_da_pug","Under your feet ",""
"@Livestream #GOPDebate most important of all Republicans will not get the Womens vote not even if they beg for it http://t.co/iovVW90aaX","negative",0.6948,"2015-08-07 09:19:23 -0700","No candidate mentioned","OutSideDBox1","New York, USA",""
"RT @scarylawyerguy: We had a chance to secure Social Security surplus in 2000, but media decided they wanted to hang w/W instead of fact ch…","negative",0.3412,"2015-08-07 09:19:21 -0700","No candidate mentioned","colmant_","USA","Atlantic Time (Canada)"
"RT @NeinQuarterly:My only complaint with the political culture of the present: the politics. The culture. And the present. #GOPDebate","negative",0.6819,"2015-08-07 09:19:21 -0700","No candidate mentioned","robertore62","Milano +45.465556°, +9.190000°","Rome"
"RT @Cjlewis99: @FoxNews moderators took up 32% of the air time. Guess who else got most the time? #GOPDebate #FoxDebate http://t.co/IZJ1N7a…","negative",0.6421,"2015-08-07 09:19:21 -0700","No candidate mentioned","RickLRoss","",""
"You know who @ChrisChristie was giving hugs to? THE FAMILIES OF PEARL HARBOR VICTIMS #GOPDebate","negative",0.6824,"2015-08-07 09:19:21 -0700","Chris Christie","dhniels","St George, UT","Mountain Time (US & Canada)"
"RT @NeinQuarterly:De Tocqueville has left the building. #GOPDebate","neutral",1,"2015-08-07 09:19:20 -0700","No candidate mentioned","robertore62","Milano +45.465556°, +9.190000°","Rome"
"RT @picsofmattdamon: Oh ho ho. A scene where #kieraknightley talks emotionally to some guy in the rain. #GOPDebate #cliche #WhitePrivilege","negative",0.3636,"2015-08-07 09:19:19 -0700","No candidate mentioned","CaliKopczick","","Pacific Time (US & Canada)"
"The Fox News moderators got 31% of the airtime last night #GOPDebate. With Megyn Kelly getting the most.  That's not a surprise","neutral",0.3542,"2015-08-07 09:19:19 -0700","No candidate mentioned","OneBetterDay","Mid Atlantic","Eastern Time (US & Canada)"
"RT @FCAlexB: @WSJ ""tonight's attendance is 62 people for the JV Game"" #GOPDebate","neutral",0.6739,"2015-08-07 09:19:18 -0700","No candidate mentioned","uncleblabby","Beverly IL USA",""
"How can the candidates not mention any veteran issues besides firing VA Personal. Veteran homelessness in America is a disgrace #GOPDebate","negative",0.7035,"2015-08-07 09:19:17 -0700","No candidate mentioned","ro_Beamon","Connecticut","America/New_York"
"RT @deray: I hadn't heard Jeb speak for an extended period of time until tonight. I thought that he would be a better speaker. He isn't. #G…","negative",1,"2015-08-07 09:19:17 -0700","Jeb Bush","ken_qm","",""
"RT @DaciaLJohnson: So, who do you think won the #GOPDebate? So far @TCPalm polls shows @realDonaldTrump at 50%: http://t.co/4atgYTWh8T http…","neutral",0.6847,"2015-08-07 09:19:17 -0700","Donald Trump","TCPalm","Treasure Coast of Florida","Eastern Time (US & Canada)"
"FOX #GOPDebate drew 10 million viewers. No Democrat primary debate has ever attracted anything like this...-- Rush","positive",1,"2015-08-07 09:19:15 -0700","No candidate mentioned","Hardline_Stance","atop a liberal's vagus nerve","Eastern Time (US & Canada)"
"@ZeitgeistGhost #GOPDebate last night clarified that it's not a clown car, it's a loony van of sociopaths.","negative",1,"2015-08-07 09:19:15 -0700","No candidate mentioned","Didikatz","","Pacific Time (US & Canada)"
"RT @michelleeeers: It's really hard to believe Donald Trump wasn't created by God as a work of satire #GOPDebate","negative",1,"2015-08-07 09:19:15 -0700","Donald Trump","AlizehPirali","Sugar Land, Texas","Central Time (US & Canada)"
"RT @kumailn: When Dr. Doom takes his mask off, it could be any of these people underneath. #GOPDebate","negative",0.6742,"2015-08-07 09:19:14 -0700","No candidate mentioned","CaitMoore13","Illinois","Eastern Time (US & Canada)"
"I wish we could see Kasich vs #BernieSanders for the presidency. The actual issues &amp; ideas might come out. #GOPDebate Didn't watch it.","positive",1,"2015-08-07 09:19:12 -0700","John Kasich","magicnorman","Denver, CO",""
"HOOT! LOOKY THIS.. huh last I heard neither Clinton nor Sanders was part of #GOPdebate 
 RT @davidbadash: Today’s... http://t.co/hf76cKlBpQ","neutral",0.686,"2015-08-07 09:19:11 -0700","No candidate mentioned","LOrion","California ","Pacific Time (US & Canada)"
"RT @kyaecker: Love to hear an apology from @megynkelly to @realDonaldTrump for dragging the debate into the toilet #gopdebate","negative",0.3409,"2015-08-07 09:19:11 -0700","Donald Trump","slopokejohn","All 48 states",""
"RT @barefootpagan: Gonna call it a night &amp; think of peaceful thoughts to erase the #GOPDebate from my mind. Blessed Be. http://t.co/pDI5czn…","negative",1,"2015-08-07 09:19:11 -0700","No candidate mentioned","owdharry","","Hawaii"
"@RealBenCarson said a mouthful. #RunBenRun #Carson2016 #GOPDebate http://t.co/rpQo4SQBTo","positive",0.6374,"2015-08-07 09:19:11 -0700","Ben Carson","Sarah_May0","",""
"RT @TCPalmKGardner: Who told the truth and whose pants are on fire from last night's #GOPDebate? http://t.co/WhLKEkq2FM …","neutral",0.6296,"2015-08-07 09:19:10 -0700","No candidate mentioned","TCPalm","Treasure Coast of Florida","Eastern Time (US & Canada)"
"RT @goldietaylor: And now a word from God... #GOPDebate http://t.co/VkGvYttwtK","neutral",0.6364,"2015-08-07 09:19:10 -0700","No candidate mentioned","__ranishanicole","","Atlantic Time (Canada)"
"@moe67 Oh I'm sure it did. Headlines this morning ""#GOPDebate winners weren't #Trump or Jeb"" Shocker  Boring BB show w Derrick  #BB17","negative",0.6907,"2015-08-07 09:19:09 -0700","Donald Trump","RealFriscoKid","Frisco, Texas","Central Time (US & Canada)"
"Fact checking the GOP candidates' statements in debate http://t.co/QjssdIkKPD via @NewsHour #GOPDebate","neutral",1,"2015-08-07 09:19:04 -0700","No candidate mentioned","kwdayboise","Boise, ID","Mountain Time (US & Canada)"
"RT @kevantrich: @mtaibbi the pimp lobby is NOT happy #GOPDebate http://t.co/k8Gj8apqu7","neutral",0.6593,"2015-08-07 09:19:04 -0700","No candidate mentioned","LindaC528","S.W. Chicago suburbs","Central Time (US & Canada)"
"The #GOPDebate staging evoked ""Seasons of Love"" from ""Rent,"" says @CharlesMcNulty. More: http://t.co/bCpJvfxccB","negative",0.6917,"2015-08-07 09:19:03 -0700","No candidate mentioned","jtcorrigan","Los Angeles","Pacific Time (US & Canada)"
"RT @LailaLalami: Aaaand systemic racism is ""all about training."" Time for a commercial. #GOPDebate","negative",0.6649,"2015-08-07 09:19:03 -0700","No candidate mentioned","ArrogantDemon","LexCorp Towers, Metropolis","Eastern Time (US & Canada)"
"Could @FoxNews be any more blatant about their dislike for @realDonaldTrump? I dislike him BUT this was an uneven playing field.#GOPDebate","negative",1,"2015-08-07 09:19:03 -0700","Donald Trump","SimSoph","",""
"RT @HuffPostLive: Last night's #GOPDebate in a nutshell. http://t.co/dyyuTjv1ji","neutral",0.6453,"2015-08-07 09:19:03 -0700","No candidate mentioned","mmarxen","NC",""
"RT @JohnFugelsang: Tonight I am live-heckling #GOPDebate with @FrankConniff and @MykaFox at @QEDAstoria and we are sold out like Rand Paul.","negative",0.6413,"2015-08-07 09:19:02 -0700","Rand Paul","terri_georgia","Georgia USA","Eastern Time (US & Canada)"
"Didn't watch a nanosecond. #GOPDebate 💩","negative",0.6845,"2015-08-07 09:19:00 -0700","No candidate mentioned","tymekz187","NYC","Quito"
"RT @feministabulous: Remember when Trump didn't apologize for calling women ""'fat pigs"" ""dogs"" and ""disgusting animals""? 
http://t.co/QgwM5…","negative",1,"2015-08-07 09:18:59 -0700","Donald Trump","Karasticks","Albuquerque, New Mexico","Mountain Time (US & Canada)"
".@GayPatriot's takeaway from last night: ""America Doesn't Deserve Ben Carson."" http://t.co/kjGFYYpcTe #GOPDebate","negative",1,"2015-08-07 09:18:59 -0700","Ben Carson","AndrewHClark","Washington, DC","Eastern Time (US & Canada)"
"Advice to #GOP candidates in the order they finished 7th place Ted Cruz more of same take more of the clock time #gopdebate #tcot #p2","negative",0.6606,"2015-08-07 09:18:59 -0700","Ted Cruz","DaTechGuyblog","Central massachusetts","Eastern Time (US & Canada)"
"RT @Pie_SocialMedia: At the #GOPDebate , #walker16 #scottwalker never gained momentum. Dead last. #epicfail #collegedropout #fraud https://…","negative",1,"2015-08-07 09:18:59 -0700","Scott Walker","Larry_UMN","","Central Time (US & Canada)"
"Definitely Off Topic:

Watched the #GOPDebate last night and was thoroughly entertained.","neutral",0.3247,"2015-08-07 09:18:59 -0700","No candidate mentioned","InkpotGames","Saint Louis, MO",""
"@RandPaul totally pulled a Leeroy Jenkins last night at the #GOPdebate charging in against @realDonaldTrump  and had similar results. #WoW","negative",0.6535,"2015-08-07 09:18:58 -0700","Rand Paul","seasicksiren","","Pacific Time (US & Canada)"
"#FF 
Best source for what's going on in US Senate: @SenTomCotton
Best commentary: @BuckSexton 
Best #GOPDebate performance: @CarlyFiorina","positive",1,"2015-08-07 09:18:56 -0700","No candidate mentioned","bethpariseau","Northwest Arkansas","Pacific Time (US & Canada)"
".@instagram Y’all taking down the @DreamDefenders account for criticizing the #GOPDebate is some bullshit.","negative",1,"2015-08-07 09:18:53 -0700","No candidate mentioned","Professor_D","Somewhere around Austin","Central Time (US & Canada)"
"Watching FOX #GOPDebate (?) was like watching a football game where every time the ball is hiked... the refs all dogpile the same player.","negative",1,"2015-08-07 09:18:53 -0700","No candidate mentioned","robjones3030","A bit outside of Ft Worth","Central Time (US & Canada)"
"Watched the #GOPDebate with my political buddy. #daddy ❤🐘 http://t.co/dqr7LjEwNu","neutral",1,"2015-08-07 09:18:53 -0700","No candidate mentioned","KellyM716","","Eastern Time (US & Canada)"
"RT @TheDemocrats: Marco Rubio’s tax plan is pure 80s: 
↑ taxes for working families 
↓ taxes for those at the top. 
#OMGOP #GOPDebate http:…","negative",0.686,"2015-08-07 09:18:53 -0700","Marco Rubio","nickjcmw","",""
"Yep… And it ain't pretty -- Hillary is loving life. #GOPDebate  https://t.co/TrumOOJA4G","neutral",0.6591,"2015-08-07 09:18:53 -0700","No candidate mentioned","GHalv","Nashville, Tennessee","Central Time (US & Canada)"
"FOR SHIT'S SAKE... TURN ON THE TV AND IT WAS STILL ON FOX FROM THE #GOPDebate AND ALL I SEE IS PEOPLE GOBBLING @realDonaldTrump 'S KNOB.","negative",1,"2015-08-07 09:18:52 -0700","Donald Trump","DalekTucker","",""
"@Reince - That's because we all came for the laughs and bat shit crazy comments. #GOPDebate","negative",1,"2015-08-07 09:18:52 -0700","No candidate mentioned","BikerBecca","San Francisco","Pacific Time (US & Canada)"
"RT @danholler: Cruz hit unconstitutional executive actions, #PlannedParenthood, religious liberty and Iran deal in final answer. #GOPDebate","neutral",0.3477,"2015-08-07 09:18:51 -0700","Ted Cruz","rcadyn","",""
"Countries in Africa  RT' &amp; DL' #InternationalBeerDay #GOPDebate #fridayreads @timaya #AMAYANABO_cover  »» http://t.co/DRKtW64C1u","neutral",0.6632,"2015-08-07 09:18:50 -0700","No candidate mentioned","LambasixX","DOPECITY HD","London"
"RT @jerrydoyle: Dust up between @RandPaul and @ChrisChristie at the #GOPDebate over #NSA http://t.co/EZMufRVHhQ Christie won when Paul brou…","neutral",0.3474,"2015-08-07 09:18:50 -0700","Rand Paul","Al_Nimer","DFW, Texas","Central Time (US & Canada)"
"RT @HellBlazeRaiser: @FoxNews @megynkelly @BretBaier court @realDonaldTrump to boost their ratings, but try to undermine him at the #GOPDeb…","negative",0.6739,"2015-08-07 09:18:50 -0700","Donald Trump","borsato79","",""
"RT @TheXclass: #GOPDebate taught us that it's OK to buy Democracy and sacrifice Other Peoples Kids in WAR! to make the whole thing profitab…","negative",1,"2015-08-07 09:18:50 -0700","No candidate mentioned","william4manu","United States of America",""
"RT @DLoesch: Cruz, Rubio led the night tonight. #GOPDebate","positive",0.6786,"2015-08-07 09:18:49 -0700","Ted Cruz","KastonHall","Macon,Georgia","Eastern Time (US & Canada)"
"RT @kristina_schake: .@jmpalmieri: ""Hillary Clinton wasn't on the stage, but we think she was the clear winner."" #GOPDebate http://t.co/SLz…","neutral",0.7059,"2015-08-07 09:18:48 -0700","No candidate mentioned","Cromwell_MM","Melbourne","Melbourne"
"Recap of the #GOPdebate: these #TenMen want to make choices for all women. #GOPtbt http://t.co/YUikaXrvtV","negative",0.6472,"2015-08-07 09:18:47 -0700","No candidate mentioned","kehl_7","",""
"Who Wants A Hug?
#GOPDebate http://t.co/iaTS8vyx7c","negative",0.3667,"2015-08-07 09:18:47 -0700","No candidate mentioned","FreedomJames7","",""
"#GOPDebate moderated by @foxnews was our chance to ask questions the right cares about not what left is concerned with @IngrahamAngle 2/2","positive",0.3297,"2015-08-07 09:18:46 -0700","No candidate mentioned","Lydia4Liberty","USA","Central Time (US & Canada)"
"RT @RickSantorum: ""I'm going to take a blowtorch to the I.R.S."" -@RickSantorum #GOPDebate","neutral",0.6842,"2015-08-07 09:18:46 -0700","No candidate mentioned","TheTrianoKid","GP | Allendale | ","Quito"
"RT @SalenaZitoTrib: Thanks @BrucePurple @DaneStrother @ChipFelkel for your input on @OffRoadPolitics on #GOPDebate http://t.co/6OFOA0Hqpa h…","positive",1,"2015-08-07 09:18:45 -0700","No candidate mentioned","BrucePurple","Washington, DC","Eastern Time (US & Canada)"
"Donald #Trump visited the border. John #Kasich attended a gay wedding. Q: Which man is braver? #GOPDebate #LowBar","neutral",0.6413,"2015-08-07 09:18:42 -0700","Donald Trump","ThePhoenixSun","Phoenix, AZ, USA","Pacific Time (US & Canada)"
"RT @JenniLathrop: ""American exceptionalism"" is NOT theology. #GOPDebate","neutral",1,"2015-08-07 09:18:42 -0700","No candidate mentioned","Rumel","Lincoln/Omaha","Central Time (US & Canada)"
"Trump tanked, so you ignore every single other candidate?? #txot #ccot #GOPDebate","negative",0.6495,"2015-08-07 09:18:42 -0700","Donald Trump","freestyldesign","Seattle WA USA","Pacific Time (US & Canada)"
"Watching the #GOPDebate again. If you vote in this primary... listen to the quiet smart people instead of the loud people. Please. Bah.","neutral",0.3407,"2015-08-07 09:18:42 -0700","No candidate mentioned","LoraRae","The Big Apple","Eastern Time (US & Canada)"
"RT @MolonLabe1776us: Retweet if you think @HillaryClinton should be in PRISON. #Benghazi #Tcot #rednationrising #wakeupamerica #GOPDebate h…","positive",0.245,"2015-08-07 09:18:41 -0700","No candidate mentioned","Smithstoreithsv"," Alabama",""
"I've got ma brand  RT' &amp; DL' #InternationalBeerDay #GOPDebate #fridayreads @timaya #AMAYANABO_cover  »» http://t.co/DRKtW64C1u","neutral",0.6709,"2015-08-07 09:18:41 -0700","No candidate mentioned","LambasixX","DOPECITY HD","London"
"That's a good way to dispel sexism charges for sure, calling a female journalist a bimbo. #GOPDebate  https://t.co/HARNfFYfdm","negative",0.6458,"2015-08-07 09:18:41 -0700","","dariasolo","UAE","Eastern Time (US & Canada)"
"RT @NathanHaynes24: @FoxNews  after last night's #GOPDebate  @RealBenCarson @GovMikeHuckabee  have emerged as my top two","positive",1,"2015-08-07 09:18:40 -0700","Ben Carson","smoothblinkrule","Florida, USA","Pacific Time (US & Canada)"
"Ted Cruz with Sean Hannity After the #GOPDebate http://t.co/uIAoTVyd8Z","neutral",0.6629,"2015-08-07 09:18:38 -0700","Ted Cruz","USAforTedCruz","",""
"Treating women like human beings isn't political correctness. #GOPDebate","negative",0.6776,"2015-08-07 09:18:38 -0700","No candidate mentioned","NinaSPakdi","Philadelphia, PA",""
"Rush Limbaugh ""Fox News made the debate seem like there is a Republican war on women.""  #EpicFail #FoxNews #GOPDebate","neutral",0.3068,"2015-08-07 09:18:38 -0700","No candidate mentioned","palmaceiahome1","","Quito"
"IceCube 4 President!!! 😉@DonnieWahlberg: I love seeing the #StraightOuttaCompton movie preview during the #GOPDebate!","neutral",0.6544,"2015-08-07 09:18:37 -0700","No candidate mentioned","KdubTheBlock","DubCity","Eastern Time (US & Canada)"
"@OutnumberedFNC mentioned @ericbolling likes his #titosvodka and soda. Excellent choice for #GOPDebate watching.","neutral",0.6392,"2015-08-07 09:18:36 -0700","No candidate mentioned","solvo471","San Francisco, CA",""
"RT @rodimusprime: Ben Carson is all these candidates ""black friend"" they not actually listening to him but they are being so civil towards …","neutral",0.6336,"2015-08-07 09:18:35 -0700","Ben Carson","ArrogantDemon","LexCorp Towers, Metropolis","Eastern Time (US & Canada)"
"RT @Couranto: Rush now mocking Megyn Kelly as self serving &amp; narcissistic. #KellyFile #GOPDebate #FOXDebate","negative",1,"2015-08-07 09:18:35 -0700","No candidate mentioned","Texastiger89","Houston, Texas","Central Time (US & Canada)"
"RT @JeneralPR: Now! @ninaturner on @hardball with Chris Matthews discussing #GOPDebate http://t.co/08I67jQo7g","neutral",1,"2015-08-07 09:18:34 -0700","No candidate mentioned","NanceBonita","north carolina",""
"RT @benshapiro: This is the worst episode of Fox &amp; Friends ever. #GOPDebate","negative",1,"2015-08-07 09:18:33 -0700","No candidate mentioned","sweetsabina","","Hawaii"
"RT @EliseVess: Healthcare used to be unavailable to low income people. The affordable care act isn't stealing it's healing. #GOPDebate","negative",0.6667,"2015-08-07 09:18:33 -0700","No candidate mentioned","stourmy","northeast usa","Quito"
"#GOPDebate - Watching Pataki talk about taking on radical Islam. Wonder if he'd do the same against radical Christianity...#NotReally","neutral",0.6702,"2015-08-07 09:18:33 -0700","No candidate mentioned","Gwain","Seattle, WA","Pacific Time (US & Canada)"
"RT @rachelhills: .@HillaryClinton to the Republicans: #GOPDebate http://t.co/z71BjpCpaq","neutral",0.6297,"2015-08-07 09:18:33 -0700","No candidate mentioned","j_g_williamson","","Eastern Time (US & Canada)"
"RT @FMJAmerican: Megyn Kelly Chris Wallace and Brett Bair were no doubt posing questions to incite attacks and drama..and it backfired #GOP…","negative",1,"2015-08-07 09:18:32 -0700","No candidate mentioned","smoothblink_pcs","United States","Pacific Time (US & Canada)"
"Why is #outnumbered trying to make the #GOPDebate more exciting than it was? @foxnews has all shows promoting the weak debate. #outnumbered","negative",0.7056,"2015-08-07 09:18:31 -0700","No candidate mentioned","Roxsett27573","North Carolina, USA","Eastern Time (US & Canada)"
