"Text","Sentiment","Sentiment_directed_at"
"Oh yeah! #saysshewithoutanipad RT @mention Flipboard's next platform will be the iPhone, CEO @mention says #sxsw (via @mention","positive","iPhone"
"#sxsw At #smileyparty and really want to win sn iPad!!!!!","positive","iPad"
"@mention #sxsw - free tunage on iTunes {link}","positive","Other Apple product or service"
"Heard at #sxsw #Android is now the leading market share of smart phones in US. #getjarsxsw","positive","Android"
"@mention #sxsw #google tv - thanks to Google TV, I can watch Guy live in my own livingâ€_ {link}","positive","Other Google product or service"
"@mention #sxsw #ipad fans get really excited for the unique design of  the klick #sleeves. Do you have any models with straps?","positive","iPad"
"With the #sxsw app and Google Maps, I'm pretty sure that the schwag bag is just a waste of paper.","positive","Other Google product or service"
"@mention #sxsw blogger is orange, wodpress is blue, Google owns the market, so what do you do #winning","positive","Google"
"My first #SXSW blog post for the @mention Grand opening of the Apple popup store {link}","positive","Apple"
"Those at #SXSW check out the Holler Gram ipad app from @mention  {link} &lt; tis covered in awesome sauce!","positive","iPad or iPhone App"
"@mention #SXSW don't forget @mention to plan your schedule. Plus our free iphone app {link}","positive","iPad or iPhone App"
"All this #sxsw gadget lust is rubbing off on me, I think I want an iPad 2... must escape soon!","positive","iPad"
"I'd take #sxsw hashtags over scheen, ipad/ipad2, tv or sports tweets any day, but for those needing a filterâ€_ {link}","neutral",""
"@mention #SXSW iPad rocks","positive","iPad"
"@mention #sxsw is going to be alot better when u have iPad 5 to carry around ;)","positive","iPad"
"#sxswnui #sxsw laptop denotes work, #iPad denotes fun","positive","iPad"
"Google's #SxSW party theme is &quot;Party like it's 1986&quot; :) (@mention Maggie Mae's) [pic]: {link}","positive","Google"
"Enjoying #SXSW Radio Station {link} If you have an iphone use link {link} &amp; plug it into your sound system.","positive","iPhone"
"Me too!! #sxsw RT @mention Hanging out with @mention at the @mention #google Industry Party...good crowd!  #sxsw","positive","Google"
"My first #SXSW survival kit. iPhone not in the shot because I'm using it to take the picture.  {link} I might be ready.","positive","iPhone"
"Who's at #sxsw that can a 64gb iPad 2 with 3G? I'll Paypal right now! ;)","positive","iPad"
"Fear not #SXSW-ers! RT @mention Confirmed! Apple store 2 week popup in Austin for #SXSW {link}","positive","Apple"
"&quot;At #SXSW, Apple schools the marketing experts&quot;  {link}","positive","Apple"
"#tech At #SXSW, Apple schools the marketing experts {link}","positive","Apple"
"bored at #SxSW, try this iphone app: {link}","positive","iPad or iPhone App"
"Free for #SXSW: fluffertraX Radio #iPhone app--{link}","positive",""
"Going to #SXSW? Come by the #EMC Consulting booth for your chance to win an iPad 2! @mention @mention","positive","iPad"
"Going to #SXSW? The new iPhone guide to #Austin by @mention is free March 9-15. Hard to beat free. #lp","positive","iPad or iPhone App"
"At #sxsw #tapworthy iPad Design Headaches - avoiding the pitfalls of the new design challenges","negative","iPad"
"Evernote + iPhone is awesome for #sxsw notes/photos #taccsxsw","positive","iPhone"
"Disaster = iPhone died in middle of #sxsw ... can't function. heading to apple store.","negative","iPhone"
"Quadroid = Qualcomm + Android just called the platform of the next decade vs Wintel #sxsw #cloud","positive","Android"
"I'll pay $900 for a new iPad 2, white, 32 GB, 3G in the next 20 hours. {link} #willpay #sxsw #zaarly","positive","iPad"
"Google: 40% of map usage is mobile. Seeing a demo of new version of mobile maps. Nice! #SXSW","positive","Other Google product or service"
"The iPad 1 is so March 11, 2011 4:59PM PST. #sxsw","negative","iPad"
"#SXSW 2011 Trends:
Out: Google
In: Twitter
Next: Angry Birds","positive","Google"
"#SXSW 2011: Novelty of #iPad news apps fades fast among digital delegates {link} via @mention","negative","iPad or iPhone App"
"#SXSW 2011: Novelty of iPad news apps fades fast among digital delegates {link}","negative","iPad"
"#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link}","negative","Google"
"#SXSW 2011: The #Google and #Bing smackdown in all its bloody banality {link} via @mention @mention","negative",""
"Not even 10am here in Austin and my iPhone batt is at 54% - shit #SXSW #notevenstartedyet","negative","iPhone"
"The iPad 2 goes on sale next Friday...the Austin Apple Store is going to be busy! #SXSW","positive","iPad"
"The iPad 2 is just a better product... They have had time to make worthwhile improvements... @mention Diller #SXSW","positive","iPad"
"The iPad 2 is the also a cartoonishly large digital camera. #SXSW #CStejas {link}","neutral",""
"The iPad 2 launch is all the buzz at #SXSW 2011 {link} via @mention @mention #apple #tablet #marketing #advertising #ipod","positive","iPad"
"The iPad 2 launch is really at *South By* in Austin?  That is so inde.    â€”  #sxsw #mac #ipad @mention","positive","iPad"
"The iPad 2 Takes Over #SXSW [#VIDEO] {link} #channels #gadgets #news #uncategorized","positive","iPad"
"The iPad 2 Takes Over #SXSW [#VIDEO]: One of the biggest events the first day of SXSW 2011â€_ {link}","positive","iPad"
"The iPad 2 Takes Over #SXSW [VIDEO] {link}","positive","iPad"
"The iPad 2 Takes Over #SXSW [VIDEO] {link} via @mention @mention","positive","iPad"
"The iPad 2 Takes Over #SXSW [VIDEO]: {link}","positive","iPad"
"The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashable","positive","iPad"
"The iPad 2 Takes Over SXSW [VIDEO] {link} #apple #iPad #SXSW","positive","iPad"
"The iPad 2 Takes Over SXSW [VIDEO] {link} #ipad2 #SXSW","positive","iPad"
"We're at 2nd and congress #SXSW #RewardsWagon with @mention bookbook iPad cases. Get here fast. :)","positive","iPad"
"The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight {link} #SXSW #KeepAustinWeird","positive",""
"#sxsw: #15slides: Gruber: keeps on desk Apple Extended Keyboard 2 (discontinued in 1991, $169). Loud. But feels like he writes better.","positive",""
"#wjchat Q7A: I'm going iPhone/iPad only. Bought a Zagg keyboard. I have high hopes this plan will work. #SXSW","positive","iPhone"
"{link} via @mention pretty neat database I must say.  does it work on my #android we shall see. #sxsw #party #free","positive","Android"
"Just won a @mention #sxsw mystery prize! I hope it's an iPad 2:) Thanks for a great panel and the gift. #DiscoTalk","positive","iPad"
"$15k for a &quot;high-quality PDF&quot; iPad app is a good investment for small mags, says Chris Tomlinson, formerly Texas Obs (now AP) #sxsw","positive","iPad or iPhone App"
"We setup a #SXSW demo restaurant page. Sign up or download our iPhone app to check it out {link} &amp; say hi to @mention at #SXSWi","positive","iPad or iPhone App"
"Just got a back door invite to the Google party. goona network my ass off! #SXSW","positive","Google"
"Great idea behind #circles RT @mention &amp; @mention Google Launching Secret New Social Network Called Circles {link} #sxsw","positive","Google"
"3rd time a charm? All about privacy! RT @mention Google to Launch New Social Network, Circles, maybe today? {link} #sxsw","positive",""
"Just got a free iPhone charger. Someone came up to me and gave me one randomly. I love #sxsw!","positive","iPhone"
"Just got a free iPhone-charger from Alex on the #Powermatteam. Wow. Makes life at #SXSW so much easier! Thanks!  {link}","positive","iPhone"
"Enjoying a Google ice cream sandwich at the GSD&amp;M party...with an edible wrapper! #welivehere #gsdm #SXSW  {link}","positive","Google"
"There is a great festival #app for #sxsw featured on the app store works with google maps and plan schedule, and it's #free","positive","iPad or iPhone App"
"Watching a guy simultaneously use a laptop and an iPad. The Force is strong with this one, mmm. #sxsw","positive","iPad"
"The Beluga iPhone app is the highlight of this #SXSW. Excellent way to coordinate the #sxsw4japan relief effort.","positive","iPad or iPhone App"
"Apple is a more selfish brand than Microsoft but it has served its brand well.#sxsw","negative","Apple"
"Just saw a preview of the new @mention iPad app. Awesome. #sxsw","positive","iPad or iPhone App"
"Watching a promo for Google earth engine at 'Techies can save the world, why don't they?'. Harnessing collective power for good. #sxsw","positive","Google"
"If I was a really bad person I could have just stolen this guys ipad... Just saying. #sxsw","positive","iPad"
"Just had a really great #mophie experience at #sxsw -a user for over 3 months I highly recommend their iPhone 4 battery #goodcustomerservice","positive","iPhone"
"It's not a rumor: #Apple is opening up a pop-up store in downtown Austin for #SXSW &amp; iPad 2 launch (via @mention {link}","positive","iPad"
"It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW and the iPad 2 launch: It'... {link}","positive","Apple"
"Just got a shiny new #iPad2 at #SXSW ? Discover new music with {link} (built in HTML5, not Flash - looks great on iPad)","positive","iPad"
"There is a tech bro posed as a homeless person outside the apple pop up with a sign asking for $$$ for an iPad #SXSW","positive","iPad"
"#sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.","positive","iPad or iPhone App"
"At Q&amp;A with Google and Bing on website rankings. Fun. #sxsw","positive","Google"
"3/5 available for Android. &gt;&gt; 5 Absolute, Must-Have Apps to Rock #SXSW Interactive by @mention {link} via @mention","positive","Android App"
"Free portable iPhone charger from @mention I'm about to use the heck out of this at #SXSW. {link}","positive","iPhone"
"saw #Hashable pushed out an update to its iPhone app - looks ready to use as the paperless biz card solution for  #SXSW","positive","iPad or iPhone App"
"It's probably best to keep me away from any Apple pop up stores - the temptation to get a White 3G iPad for #SXSW is insanely tempting.","positive","iPad"
"Learning about all the latest food related apps.  Half the people in this rm make apps #sxsw #gsdm check out lovefresh, coming soon  iphone","positive","iPad or iPhone App"
"Not just about pretty content. Nat Geo has pretty article on iPad. Cooler is twitter list of current Arctic explorers. #flipboard #SXSW","positive","iPad"
"@mention about to talk at #sxsw on mistakes building #Netflix #iphone app","negative",""
"fucking mac users..... {link} #sxsw CWebb iPad Grant Hill","negative","Apple"
"Yikes, reached a new level of Apple-fanboyism last night: literally fell asleep with a MacBook Pro, iPad 2, &amp; iPhone 4 on top of me. #SXSW","positive","Apple"
"Touch: trackpads first, iPhone, iPad - positives- more natural, don't have to sit, mobile, more relaxed #SXSW #sxswnui","positive","iPhone"
"Has an iPad 2 !!! Wohooo! Tnx Apple for the popup shop at #sxsw!","positive","iPad"
"Got my ipad 2 and gave to red cross for japan what a first day at #sxsw","positive","iPad"
"Win an iPad 2 at SXSW via @mention ! #sxsw {link}","positive","iPad"
"has an ipad 2 in his hands, and it is exquisite. #sxsw","positive","iPad"
"Win an iPad 2! via @mention Video ClipCon! See intro reel at {link} #sxsw #suasxsw #sxswaccel #entrepreneur #smallbiz #ceokidschat","positive","iPad"
"writer iPad app {link} saved my ass on flight &amp; each bigger #SXSW panel - good job @mention @mention :) {link}","positive","iPad or iPhone App"
"Dawn's iPad App of the Week is up early to help you prep for #SXSW: {link}","positive","iPad or iPhone App"
"Win an iPad at SXSW via @mention #sxsw {link}","positive","iPad"
"#SXSW: iPad Design Headaches (Take Two Tablet and Call Me in the Morning) {link}","negative","iPad"
"Already had my first Google Circle search result. {link} cc @mention @mention #sxsw","positive","Other Google product or service"
"so the iPad will be available while I'm in Austin for #sxsw -- this is major #GeekDilemma","positive","iPad"
"#sxsw: ipad2 is coming for you! Will you buy? RT @mention Apple to open a store near SXSW for ipad 2 release. {link}","positive","iPad"
"Buying iPad2? Turn in ur iPad1, Apple store wipes it clean, donates to schools. Mrs. Jobs idea. #Apple #iPad2 #SXSW","positive","Apple"
"Monday's Adfonic Daily is Out! Read about #iphone white release #Google social #sxsw and all things #mobile here â–¸ {link}","positive","iPhone"
"LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad &amp; my droid!","positive","iPad"
"@mention After #SXSW I will never again take a fully charged IPhone for granted; 24/7 pics edit tweet 4square apps =zap! &lt;Good 2 kno!","positive",""
"packing bag for #sxsw,not taking DELL laptop (sorry richard)...at the mercy of bb torch and iphone, webmail too i suppose...cheers","positive","iPhone"
"Best schwag I've seen at #SXSW is the @mention battery charger for your iPhone. How do I get one?!?!","positive","iPhone"
"O no,not again {link} Google Circles Juwan Howard #sxsw","neutral",""
"Waiting eagerly for Google to launch their secret new Social Network called Circles today at #SXSW &gt;&gt; Any new updates ?","positive","Other Google product or service"
"Google Brain apologies for randy ads popping up with search results; algorithm skewed over weekend by randy queries from #SXSW attendees.","negative",""
"2+ hour wait at the makeshift Apple store for iPad 2. #fail #sxsw","negative","Apple"
"Want to make #SXSW Film more fun? Download #filmaster app {link} check-in to screenings &amp; get private recommendations!","positive","iPad or iPhone App"
"Doesn't make sense to limit content to a specific platform, if it's on the iPad it should be on the web @mention interview w/ @mention #sxsw","negative","iPad or iPhone App"
"The big takeaway from #SXSW interactive - I need an iphone.","positive","iPhone"
"Guy Kawasaki &quot;I believe in God because there is no other explanation for the continuous survival of Apple over the years.&quot;. LOL #SXSW","negative","Apple"
"Apple's taking old iPads for Teach For America (user gets a tax write-off) when you buy a new iPad. Kinda cool. #sxsw","positive","Apple"
"9 Essential Apps for #SXSW and Beyond | Underwire | Wired.com {link} #SocialMedia #iPhone #Android","positive","iPad or iPhone App"
"My informal unscientific observation is that #Apple is by far the computer of choice at #SXSW. Hands down.  No contest.","positive","Apple"
"@mention Alive and loving it! Great talks from Jonathan Dahl #minimalistprogramming and Google's Marissa Mayer #MarissaGoogle - #sxsw","positive","Google"
"I just realized my iPhone's gonna go nuts with Foursquare and Gowalla updates. #SXSW","neutral",""
"I just realized that I havnt used my laptop since Thursday. Pure #iPhone with a sprinkle of the #iPad2 on top. #Apple #SXSW","positive","iPhone"
"GroupMe talks about Apple App Store approval woes - there would be a big group of people that would agree with that! #whowillrise #sxsw","negative","Apple"
"It's not all Apple love here at #sxsw. Heard quite a bit of grumbling about holding back features on iPad 1 so people would have to buy v2.","negative","Apple"
"Why does all the #Android meetups here in #Austin are when I'm at work. Well at least there is the PS meetup #sxsw","negative","Android"
"#virtualwallet #sxsw no NFC in #iphone5 bc of standardization while #android will have it #confusion","negative","iPhone"
"Monthly value of user iOS $9.50. Android $7.20. Utility apps most valuable. #sxswEisner #sxsw","positive",""
"DL the #Calyp App today! Avail in the iTunes App Store &amp; Android Market! #Calyp Look for us at #SXSW","positive","Android App"
"Google analytics can track offsite links as virtual page views using JavaScript. #moreknowledge #sxsw #mitharvard","positive","Other Google product or service"
"Google analytics rocks #VIEW512 #SXSW","positive","Other Google product or service"
"At the Team Android party. Can't find it on Gowalla or Foursquare, so um, there you go. #sxsw","neutral",""
"Holler Gram for iPad on the iTunes App Store -  {link} (via @mention #sxsw","positive",""
"Holler Gram for iPad on the iTunes App Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany - Free","positive","iPad or iPhone App"
"UMSHINI WAM/NIGHT FISHING are both weird as shit, but as @mention said they work well together. I liked both, esp the iPhone footage. #SXSW","positive","iPhone"
"Watching an 8 year old report on #sxsw via his iPhone shows that technology isn't going anywhere...until the robots revolt, that is.","positive","iPhone"
"Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete!","positive","iPad"
"#SXSW Vegan Guide Google Map (Austin, TX) ~ {link} ~ Based on the Lazy Smurf's info ~ {link}","positive","Other Google product or service"
"Don't by an ipad 2 for the rear-facing camera, here is what you get: {link} #sxsw","negative","iPad"
"I'll use an iPad 2 if someone gives it to me. Otherwise, iPhone is actually more than up to task #sxsw","positive","iPhone"
"Just buy an iPad 2 at #SXSW? Give it the finger. Better yet, give it four of 'em :: {link}","neutral",""
"Just won an iPad 2 at #sxsw thanks to @mention #fxsw","positive","iPad"
"Just got an iPad courtesy of a random stranger on the street...an Apple investor at #sxsw ... THANK YOU!!!! Utter... {link}","positive","iPad"
"@mention An iPad is cheaper than most laptops. #newsapps #sxsw","positive","iPad"
"Is there an iPhone app that people use for #SXSW scheduling? This @mention is awesome but there isn't an app! #flummoxed","positive","iPad or iPhone App"
"@mention and @mention saying hi at #sxsw with their new iPhone cases! #zazzlesxsw {link}","positive",""
"@mention and @mention shooting some videos at #sxsw. PS - that is a pic from an iPad 2. {link}","positive","iPad"
"Check in and offers through Google, cool. {link} #SXSW","positive","Google"
"@mention Android just got a big call out at #sxsw in they #gamelayer opening keynote. I knew you'd appreciate.","positive","Android"
"@mention Android needs a way to group apps like you can now do with iPad/iPod. #SXSW #hhrs","negative","Android"
"Awesome hands on review of the iPad 2 coming tomorrow on @mention , guest post by @mention - he's at #SXSW","positive","iPad"
"#LonelyPlanet #Austin iPhone app is a (free!) godsend. GPS-aware map of the city without the need for 3G or WiFi! #sxsw","positive","iPad or iPhone App"
"Lonely Planet releases free Austin city guide iPhone app for #SXSW. Like there aren't enough apps cluttering up your handset.","negative","iPad or iPhone App"
"Lonely Planet's new iPhone Austin city guide is free March 9-15 for those going to #SXSW! {link} #travel","positive","iPad or iPhone App"
"The day Bank of America launched their iPhone app they got 250k new customers #bankinnovation #SXSW","positive","iPad or iPhone App"
"#sxsw  thanks for the ever present iPhone barging tables...","positive",""
"@mention another google social failure? #sxsw","negative","Google"
"Google plans to bring &quot;The Power of Here&quot; to life in the future by linking the digital and the physical worlds. {link} #sxsw","positive",""
"mom...I want my ipad 2 back! {link} #thingsthatdontgotogether #sxsw Lisa Rinna","positive","iPad"
"I don't want to lose your love #google #SXSW","positive","Google"
"So brilliant. Rosso used a google  doc to paste in a recipe to make mothers think they generated a recipe for her. #leanstartup #sxsw","positive","Other Google product or service"
"what company company has the best supply chain? Walmart and Apple #behance #sxsw","positive","Apple"
"Is there any way of deleting an app that won't stop loading on the iPhone? Draining my power, but no 'x' to cancel. Help me, #SXSW.","negative","iPad or iPhone App"
"Great recap of a seemingly great #sxsw session: RT @mention Relive the wonder that was the Google v Bing panel: {link}","positive","Google"
"Great recap of Google/Bing Q/A session on website ranking #SXSW #qagb {link} (via @mention cc: @mention","positive","Google"
"iPad 2 Graphics Much Faster Than iPad 1, Motorola Xoom {link} @mention #tech #SXSW","positive","iPad"
"#sxsw #evaporation @mention @mention Business model is the platform; iPhone app makes tools available to developers","positive","iPad or iPhone App"
"I hope  #apple approves iRelay social network for mobile photo sharing app before #SXSW. Easier to share with people of they can download","positive","iPad or iPhone App"
"A major #Apple iOS update the day before #SXSW? What genius project manager came up with that brilliant idea? #NoWhammies","negative","Apple"
"@mention Apple is great at turning the new into the old  #SXSW","positive","Apple"
"Sweet... Apple listened to us!  A temp Apple Store near #SXSW for iPad2 launch!  {link}","positive","Apple"
"@mention Apple pop-up store at #sxsw was 5 blocks long! #BetterThingsToDo","negative","Apple"
"Does the apple pop-up store still have iPads? #sxsw #sxswi","positive","iPad"
"Love the Apple pop-up store at #SXSW. So freaking smart. Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.","positive","Apple"
"Queue at Apple Pop-Up Store at #sxsw still long!","negative",""
"At SXSW, Apple schools the marketing experts - CNET {link} #sxsw","positive","Apple"
"At SXSW, Apple schools the marketing experts {link}  #SXSW","positive","Apple"
"At SXSW, Apple schools the marketing experts {link} /via @mention #SXSW #Apple","positive","Apple"
"At SXSW, Apple schools the marketing experts {link} #Apple #JobsCo #SXSW","positive","Apple"
"At SXSW, Apple schools the marketing experts: {link} via @mention #sxsw #apple #marketing","positive","Apple"
"clever - Apple set to open popup shop in core of #SXSW action {link}","positive","Apple"
"RE: temp Apple store--great move, they really need help with brand recognition :) In all seriousness, pretty cool. #SXSW","positive","Apple"
"Come on #Apple! Why cant I have spell-checking without auto-correct? Must it be all or nothing? #Grrr #sxsw","negative","Apple"
"Line for Apple's iPad 2 popup store is already wrapping around the block. #SXSW  {link}","positive",""
"@mention apple's making a temp store for #SXSW 2011 for u to get an iPad 2 !! {link}","positive","iPad"
"Vai comeÃ§ar a palestra do  @mention ex-chief evangelist of Apple #sxsw","neutral",""
"Not to fear, #SXSW attendees... you can pick up your iPad 2s from Apple's Austin pop-up shop! {link} via @mention","positive","iPad"
"as the search from sxsw via twitter does not work, check out google's real time search, at least you get some results #sxsw","positive","Other Google product or service"
"Share, share and share some more. #Posterous Joins The #SXSW Pile On With Posterous Events For iPhone {link} #socmedia","positive",""
"Tried Square?? It's a credit card reader for iPhone and Android. Amazingly simple. #SXSW impressed. {link}","positive","iPad or iPhone App"
"@mention arg. It won't load on me iPhone. Not via the app store or the site. Just trying to #sxsw it and am feelin so out of touch.","negative","iPhone"
"had to charge the #iphone every 6hours here on #sxsw. running it on lowest possible screen brightness. apple, fix your basics!","negative","iPhone"
"iPhone charging party in the hallway. UX and IA professionals unite! #sxsw","positive","iPhone"
"Man gets arrested at #sxsw for not having an iPhone.  {link}","neutral",""
"Rachael Harris! That's who I saw. That was driving me nuts. Thank you, Google. #sxsw","positive","Google"
"I go to bars and get free drinks because I have an iPhone. #doesdroid #SXSW","positive","iPhone"
"Such a smart idea RT @mention w00t! @mention wrote about our #hollergram iPad app for #sxsw!  {link}","positive","iPad or iPhone App"
"Google's Art Project puts famous artworks into 7 billion pixels- allowing you to zoom in &amp; get an entirely different view of art. #SxSW","positive","Google"
"Google's art project would be a great virtual field trip for kids! Museums around the world! #edtech #sxsw","positive","Other Google product or service"
"Good CNN article on why #SXSW is important to social web innovators. {link} This is why I'm bringing Griddler iPad app there.","positive","iPad or iPhone App"
"Android party #sxsw (@mention Lustre Pearl Bar w/ 36 others) {link}","positive","Android"
"Apple = case study of great #mktg. At #SXSW they just showed everyone up again with buzz about the &quot;pop-up store&quot;: {link}","positive","Apple"
"Is the Flash discussion still relevant? #SXSW #tapworthy iPad design headaches","negative",""
"iPhone crashed in front of #sxsw Apple pop-up. #bestworstthingever","neutral",""
"Got my flask &amp; my iPad . Yes,  I'm sitting on 9th st waiting for AICN screening. #sxsw #prepared # ILoveaSurprise {link}","positive","iPad"
"Guy just asked Google's Mayer: it can take a year to remove deadly routes from Google Maps, such as through Death Valley #SXSW","negative","Other Google product or service"
"@mention at #cnngrill #sxsw rockin the #iphone couldn't be cooler {link}","positive","iPhone"
"NYT, WSJ at #SXSW ask: Is there a future for branded, native news apps on the iPad? {link} / no there is NOT!!","negative","iPad or iPhone App"
"@mention at #SXSW, 9 out of 10 attendees have MAC or iPad.","positive","iPad"
"@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via @mention","positive","Apple"
"@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; /via @mention","positive","Apple"
"@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;â€ù","positive","Apple"
"@mention at #sxsw: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} and {link}","positive","Google"
"@mention at #SXSW! Be the first to send us a pic of @mention and get a free download of our game! #Android #videogame #smartphone","positive","Android App"
"I just shat a tear. RT @mention Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2","positive","Apple"
"I hear that Apple is opening a pop-up store downtown in the Scarborough building for SXSW and the iPad2. Cool. #SXSW #newapplestoreaustin","positive","Apple"
"I love that Apple was smart enough to have a popup #SXSW store. Story (+ map!) {link} tip @mention","positive","Apple"
"80s band at google/ACLU 1986 party rocks  #SXSW  {link}","positive","Google"
"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming","positive","iPad"
"Oh, is that my excuse:? RT @mention RT @mention at #sxsw: &quot;apple comes up with cool technology ... because they don't go to conferences&quot;","positive","Apple"
"Did... what my mom might call The Big at #SXSW. Power plant, CNN, Google, and offchain set by Trombone Shorty at PBS. So sad missed Rye Rey","neutral",""
"Wonder what percentage of #SXSW interactive participants have an iPhone. It's gotta be high","positive","iPhone"
"@mention at Team Android party. @mention @mention just walked in. DL Appolicious app &amp; enter to win free Nexus S! #androidsxsw #sxsw","positive","Android"
"Geek out at the #sxsw interactive panels with this iPad Holler Gram app. Use your iPad to display messages to others. {link}","positive","iPad"
"The line at the apple store goes around the block. Oh, that's right, iPad 2! Also, #sxsw.","positive","iPad"
"The band at the Google party is the most entertaining band I have ever seen #sxsw","positive",""
"The line at the popup Apple Store is phenomenal. #sxsw #apple #ipad2  {link}","positive","Apple"
"VentureBeat: RT @mention On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention  {link}","positive","Apple"
"bout to watch the @mention live at #SXSW Apple Store for iPad 2 w/ @mention and @mention Living vicariously through all those that buy one.","positive","iPad"
"Another late start at #sxsw #sxswi damn you google and your rocking 80's party","positive","Google"
"The Spasmatics are rockin' it at the ACLU / Google party. #sxsw","positive","Google"
"Great location choice, and nice timing for iPad2 launch: #Apple, #HP 'popping' in for #SXSW {link}","positive","iPad"
"Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw","positive","Android App"
"William Patry, google, says most authors dont care about copyright, they care about income. #sxsw but what models?","neutral",""
"#iPhone battery doesn't last long under #sxsw usage","negative","iPhone"
"We just launched SPIN's iPad app at #SXSW. Tons of #music #photos #videos and more! Whatcha think? {link}","positive","iPad or iPhone App"
"I don't have a television, but still have a two-screen expierence: iPhone and iPad. #psych #SXSW","positive","iPhone"
"The ppl have spoken &quot;great #SXSW session w/ Bing, Google and Danny Sullivan. Bring it back next year with a LARGER room!&quot;: #qagb #sxswi","positive","Google"
"Anyone leaving #sxsw with an iPhone/iPad and time to kill in airports or on flights, download Tiny Wings. You're welcome, and I'm sorry.","positive","iPad or iPhone App"
"#Google Saving Drivers Time and Fuel {link} #seo #sem #googlemaps #mobile #topnews #sxsw","positive","Other Google product or service"
"Matthew Davis/Designing for iPad- &quot;the web has been like a strip mall of content...&quot; #sxsw","positive","iPad"
"iPad giveaway for using @mention at #sxsw {link}","positive","iPad"
"Win this awesome iPad from QuiBids and custom @mention case if we catch you at #SXSW wearing an openbeta VIP badge!","positive","iPad"
"@mention awesome. I traded in #sxsw last year for the iPad 1.","positive","iPad"
"RT haha, awesomely rad iPad app by @mention {link} #hollergram #sxsw (via @mention","positive","iPad or iPhone App"
"RT haha, awesomely rad iPad app by @mention {link} #hollergram #sxsw (via @mention @mention","positive","iPad or iPhone App"
"Piece of awesomeness: Arduino + android = Flaming skulls  {link} @mention @mention #sxsw #smartthings","positive","Android"
"Dude, I may actually buy an iPad 2 tomorrow. Apple will have a temporary store in downtown Austin for #SXSW! {link}","positive","iPad"
"Giving away an iPad 2 at this panel. Wish me luck! #sxsw","positive","iPad"
"Giving away an iPad to sharers who invite the most friends to join AOS this #SXSW @mention The Ginger Man {link}","positive","iPad"
"Giving away Apple gift cards in exchange 4 serious style. Find us on 6th or by the conv cntr. U look hot, we'll do the rest. #SXSW fashion","positive","Apple"
"Android may be gaining market share, but you'd never know it at #sxsw. Apparently our industry movers and shakers are Apple loyalists.","positive",""
"Have to say, pretty smart timing for #Apple to drop the #ipad2 right on top of #SXSW. it's nearly all that anyones talking about.","positive","iPad"
"Marissa Mayer #sxsw Google &quot;making smart phones smarter&quot; &amp; life more efficient: knowing your sched --&gt; suggest flights, maps, weather &amp; more","positive","Google"
"Marissa Mayer from @mention &quot;mobile is a cursor&quot; #SXSW ... Demo of next gen google maps is really impressive btw","positive","Other Google product or service"
"Marissa Mayer of Google speaking at #SXSW mobile phone usage of google maps surpassed online use in the past couple months","positive","Other Google product or service"
"Marissa Mayer talks the future of Google maps and discusses Hotpot, its answer to location-based ratings and recommendations #SXSW -KEK","positive","Other Google product or service"
"Marissa Mayer, VP Consumer Products for Google, doing great job at #SXSW. Audience has tons of respect for what Google is doing w/ location.","positive","Google"
"Marissa Mayer: &quot;Our focus is on location based services.&quot; Demoed Hotpot, Google Maps, vector maps, augmented reality. #sxsw #webvisions","positive","Google"
"Marissa Mayer: #Google wil connect the digital &amp; physical worlds through mobile  {link}  #SXSW","positive","Google"
"Marissa Mayer: Check-ins are fun but what do you get from them?  Thats why google is testing loyalty offers.  Watch out foursquare. #sxsw","positive",""
"Marissa Mayer: Google maps should have better customer service, quicker responses. #sxsw #FH","negative","Other Google product or service"
"Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile: {link} #google #sxsw #mobile #hotpot","positive","Google"
"Marissa Mayer: Location and contextual discovery will enable mobile devices to make us more efficient.  e.g. Google Places w/Hotpot #sxsw","positive","Other Google product or service"
"Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw","negative","iPad"
"Crowley says no hard feelings towards Google after Dodgeball experience. Says they would be good partner. #SXSW #checkins","positive","Google"
